,Unnamed: 0,S_1_COMID,S_1_unitarea,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,2,35008315,95.34123869398329,67.76961821758641,179.22941783328773,1,67.76961821758641,179.22941783328773,1,95341360.92722423,1,79197.0,67.75,179.0,294670503.8072928,79197,839117.5923306933,0.0088011916776728,0.002847647054893,0.0088011916776728,0.002847647054893,54.0,1436.0,1
1,1,35008315,95.34123869398329,67.76961821758641,179.22941783328773,1,67.76961821758641,179.22941783328773,1,95341360.92722423,1,79198.0,67.75,179.25,294670503.8072473,79198,94502243.33489348,0.9911988083223264,0.3207047943852236,0.9911988083223272,0.3207047943852235,54.0,1437.0,1
2,4,35002467,33.62556361193434,69.48629980169451,175.75947238747693,2,69.48629980169451,175.75947238747693,2,33625561.38914153,2,69104.0,69.5,175.75,272613164.4705843,69104,33625561.38914153,1.0,0.1233453324033066,1.0,0.1233453324033066,47.0,1423.0,1
3,6,35017564,92.10740524949426,66.01071444469892,179.35759446861007,3,66.01071444469892,179.35759446861007,3,92107425.96126156,3,89279.0,66.0,179.5,316435055.5143934,89279,44442653.04620571,0.4825089028641116,0.1404479442834177,0.4825089028641118,0.1404479442834177,61.0,1438.0,1
4,7,35017564,92.10740524949426,66.01071444469892,179.35759446861007,3,66.01071444469892,179.35759446861007,3,92107425.96126156,3,89278.0,66.0,179.25,316435055.5143934,89278,47664772.91505581,0.5174910971358879,0.1506305072223192,0.5174910971358881,0.1506305072223192,61.0,1437.0,1
5,135,35000861,8519.201312487414,71.25309131459979,180.07407927478584,4,71.25309131459979,180.07407927478584,4,84975911.0625125,4,57602.0,71.25,-179.75,250284379.8416722,57602,31754572.041104995,0.3736891037007506,0.1268739665703176,0.3736891037007505,0.1268739665703176,40.0,1.0,1
6,829,35000861,8519.201312487414,71.25309131459979,180.07407927478584,4,71.25309131459979,180.07407927478584,4,84975911.0625125,4,59040.0,71.25,179.75,250284379.84167224,59040,3594685.938828918,0.0423024112819983,0.0143624062400653,0.0423024112819983,0.0143624062400653,40.0,1439.0,1
7,1202,35000861,8519.201312487414,71.25309131459979,180.07407927478584,4,71.25309131459979,180.07407927478584,4,84975911.0625125,4,57601.0,71.25,-180.0,248282104.8029692,57601,49626653.08257861,0.5840084850172512,0.1998801046171295,0.5840084850172511,0.1998801046171296,40.0,0.0,1
8,1449,35008288,54.73059421400885,67.75263777565091,183.58407928579945,5,67.75263777565091,183.58407928579945,5,54730590.6177208,5,77776.0,67.75,-176.25,294670503.8072472,77776,13819930.365832713,0.2525083360119644,0.0468996054483713,0.2525083360119643,0.0468996054483713,54.0,15.0,1
9,1450,35008288,54.73059421400885,67.75263777565091,183.58407928579945,5,67.75263777565091,183.58407928579945,5,54730590.6177208,5,77775.0,67.75,-176.5,294670503.8072928,77775,40910660.25188811,0.747491663988036,0.138835274393947,0.7474916639880357,0.138835274393947,54.0,14.0,1
10,1452,35062610,55.99098645321093,51.93973561418491,179.63016576508144,6,51.93973561418491,179.63016576508144,6,55990975.40893345,6,169919.0,52.0,179.5,477600923.5206324,169919,24457842.186279297,0.4368175765406831,0.0512097883018911,0.4368175765406839,1.0,117.0,1438.0,1
11,1453,35062610,55.99098645321093,51.93973561418491,179.63016576508144,6,51.93973561418491,179.63016576508144,6,55990975.40893345,6,169920.0,52.0,179.75,477600923.5206324,169920,31533133.222654063,0.5631824234593151,0.0660240206199932,0.5631824234593161,1.0,117.0,1439.0,1
12,1455,35046201,44.08355594293926,64.23301668797039,175.05509721630432,7,64.23301668797039,175.05509721630432,7,44083536.51814858,7,99341.0,64.25,175.0,337885902.7064298,99341,38482939.9848941,0.872954917513281,0.113893298526662,0.8729549175132805,0.2541170832540907,68.0,1420.0,1
13,1456,35046201,44.08355594293926,64.23301668797039,175.05509721630432,7,64.23301668797039,175.05509721630432,7,44083536.51814858,7,99342.0,64.25,175.25,337885902.706482,99342,5600596.533254508,0.1270450824867197,0.0165754075218689,0.1270450824867196,0.0165809293345509,68.0,1421.0,1
14,1458,35002465,29.9305270298712,69.4559562924651,177.80477284251072,8,69.4559562924651,177.80477284251072,8,29930538.101121187,8,69112.0,69.5,177.75,272613164.4705843,69112,29930538.101121187,1.0,0.1097912426908891,1.0,0.1959026846608997,47.0,1431.0,1
15,1460,35008309,28.80699301420236,67.73022305008917,177.9521998824555,9,67.73022305008917,177.9521998824555,9,28806972.090635218,9,79193.0,67.75,178.0,294670503.8072473,79193,28806972.090635218,1.0,0.0977599444750626,1.0,0.0977599444750625,54.0,1432.0,1
16,1461,35006943,34.26525362090659,71.23975558262283,181.3634303017999,10,71.23975558262283,181.3634303017999,10,34265262.43629316,10,57607.0,71.25,-178.5,250284379.84167224,57607,15805190.507124376,0.461259870298959,0.0631489288988893,0.4612598702989595,0.0631489288988894,40.0,6.0,1
