,S_1_COMID,S_1_unitarea,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1479,35027277,67.11015763550867,67.74177773710754,176.99176773222686,16,67.74177773710754,176.99176773222686,16,67110139.06737012,16,79189.0,67.75,177.0,294670503.8072472,79189,67110139.06737003,0.9999999999999987,0.22774637501983835,1.0,0.22774637501983824
1482,35027803,72.53515307447886,65.98467851715321,184.84421419794944,17,65.98467851715321,184.84421419794944,17,72535154.54936707,17,87861.0,66.0,-175.0,316435055.5143934,87861,26491241.412457466,0.36521934194580996,0.08371778332016215,0.36521934194581096,0.18409675120654534
1481,35027803,72.53515307447886,65.98467851715321,184.84421419794944,17,65.98467851715321,184.84421419794944,17,72535154.54936707,17,87860.0,66.0,-175.25,316435055.51444227,87860,46043913.13690941,0.6347806580541874,0.14550825622671235,0.634780658054189,0.1455082562267123
1484,35027273,31.897426397806417,67.74930960446183,179.72756321426132,18,67.74930960446183,179.72756321426132,18,31897406.76138325,18,79200.0,67.75,179.75,294670503.8072472,79200,31897406.76138325,1.0,0.1082477083700522,1.0,0.10824770837005222
1486,35037412,51.265182529166495,66.00042532519477,178.18717663397558,19,66.00042532519477,178.18717663397558,19,51265181.616576076,19,89274.0,66.0,178.25,316435055.51444227,89274,48884690.9707896,0.953565157272031,0.1544856997317052,0.9535651572720314,0.1544856997317052
1487,35037412,51.265182529166495,66.00042532519477,178.18717663397558,19,66.00042532519477,178.18717663397558,19,51265181.616576076,19,89273.0,66.0,178.0,316435055.5143934,89273,2380490.6457864563,0.046434842727968585,0.0075228411147960726,0.046434842727968606,0.007522841114796071
1489,35052689,43.57738008786846,62.509324594314386,179.1466303684725,20,62.509324594314386,179.1466303684725,20,43577374.40697226,20,109437.0,62.5,179.0,359002578.4683237,109437,12796407.328687515,0.2936479653221174,0.03564433264876006,0.2936479653221173,0.038023930370365625
1490,35052689,43.57738008786846,62.509324594314386,179.1466303684725,20,62.509324594314386,179.1466303684725,20,43577374.40697226,20,109438.0,62.5,179.25,359002578.4682683,109438,30780967.078284767,0.7063520346778831,0.08574023955375422,0.7063520346778828,0.1683249039134869
1492,35037411,51.83193566249022,65.98790804207671,181.50394881800673,21,65.98790804207671,181.50394881800673,21,51831934.45944575,21,87847.0,66.0,-178.5,316435055.5143934,87847,51831934.45944575,1.0,0.16379959665084617,1.0,0.19545654330318715
1494,35046192,25.078767422417716,64.19989027194559,175.0866385472902,22,64.19989027194559,175.0866385472902,22,25078760.715744644,22,99341.0,64.25,175.0,337885902.7064298,99341,21303900.647038728,0.8494798003979507,0.0630505755830497,0.849479800397951,0.14067753390165819
1495,35046192,25.078767422417716,64.19989027194559,175.0866385472902,22,64.19989027194559,175.0866385472902,22,25078760.715744644,22,99342.0,64.25,175.25,337885902.706482,99342,3774860.0687059057,0.15052019960204888,0.011171996340981078,0.15052019960204893,0.011175718099918082
1497,35006934,94.00360578160705,71.2188726332632,179.59804554702802,23,71.2188726332632,179.59804554702802,23,94003702.20767637,23,59040.0,71.25,179.75,250284379.84167224,59040,38695391.25932089,0.4116368861072476,0.1546056980615381,0.41163688610724847,0.15460569806153815
